Caso Noticia,Artículo,Tipo de Noticia,Fecha de los Hechos,Fecha de la denuncia,Fecha Última Actuación,Última Actuación,Análisis Proceso
050016099166202446880,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-13 16:00:00,2024-12-05 16:10:00,2024-12-16 15:43:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016100335202410715,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-03 10:30:00,2024-12-05 16:10:00,2025-01-23 11:12:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202446894,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-05 06:30:00,2024-12-05 16:36:00,2025-01-22 17:14:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202445745,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-10 18:57:00,2024-12-02 10:49:00,2025-02-12 14:54:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202446635,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-04 09:31:00,2024-12-05 09:59:00,2025-01-22 16:01:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202445897,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-11-18 12:00:00,2024-12-02 14:43:00,2024-12-17 15:22:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202477994,ESTAFA. ART. 246 C.P.,QUERELLA,2024-10-25 16:56:00,2024-12-02 17:02:00,2025-02-03 14:54:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
110016010000202431350,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-27 14:00:00,2024-12-04 19:51:00,2025-02-27 09:58:00,Conciliacion fracasada (no se hizo - complementar con el motivo),➡️ Continuar con el proceso (Conciliación Fracasada)
050016099166202445724,ESTAFA. ART. 246 C.P.,QUERELLA,2024-05-24 15:00:00,2024-12-02 10:19:00,2025-02-12 15:16:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202450152,ESTAFA. ART. 246 C.P.,QUERELLA,2024-06-29 16:14:00,2024-07-02 16:09:00,2024-08-02 09:20:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202422129,ESTAFA. ART. 246 C.P.,QUERELLA,2024-05-17 08:57:00,2024-05-22 09:09:00,2024-08-05 09:30:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202477966,ESTAFA. ART. 246 C.P.,QUERELLA,2021-12-02 13:20:00,2024-12-02 13:32:00,2025-04-11 11:09:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202479879,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-27 01:36:00,2024-12-30 14:21:00,2025-02-03 07:43:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
660016000036202510052,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-30 15:37:00,2025-01-03 10:44:00,2025-01-24 16:08:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
051296100305202400254,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-26 04:00:00,2024-12-30 18:05:00,2025-02-04 16:05:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202510121,ESTAFA. ART. 246 C.P.,QUERELLA,2024-07-07 08:58:00,2025-01-07 09:03:00,2025-02-04 14:27:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202450385,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-09 21:00:00,2024-12-27 11:49:00,2025-03-26 09:05:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202479659,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-03 16:00:00,2024-12-27 12:03:00,2025-03-27 09:59:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202450401,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-17 21:29:00,2024-12-27 12:14:00,2025-02-17 14:07:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202512069,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-10 14:51:00,2025-01-21 08:08:00,2025-03-28 14:18:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202500292,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-19 14:30:00,2025-01-21 15:08:00,2025-01-22 07:50:00,Sale de fiscal intervención temprana a fiscal conocimiento,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202512215,ESTAFA. ART. 246 C.P.,QUERELLA,2024-07-07 18:10:00,2025-01-21 13:26:00,2025-06-11 11:27:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202512318,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-02 20:39:00,2025-01-22 08:00:00,2025-03-28 16:08:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202500259,ESTAFA. ART. 246 C.P.,QUERELLA,2020-06-17 15:00:00,2025-01-18 09:40:00,2025-06-25 09:10:00,Registro de informacion no formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202511568,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-08 23:24:00,2025-01-16 11:28:00,2025-03-26 15:43:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202511241,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-11-04 20:52:00,2025-01-15 08:26:00,2025-03-26 15:56:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202511714,ESTAFA. ART. 246 C.P.,QUERELLA,2023-04-01 15:00:00,2025-01-17 08:07:00,2025-07-08 15:16:00,Registro de informacion no formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202478653,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-07 21:28:00,2024-12-12 15:28:00,2025-07-02 13:42:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202479075,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-09 16:17:00,2024-12-19 14:48:00,2025-01-23 09:48:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202448262,ESTAFA. ART. 246 C.P.,QUERELLA,2024-07-29 00:00:00,2024-12-12 12:31:00,2025-02-24 14:28:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
660016000058202411762,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-05 22:33:00,2024-12-13 14:45:00,2025-05-02 16:57:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202449328,ESTAFA. ART. 246 C.P.,QUERELLA,2024-08-02 15:14:00,2024-12-19 12:24:00,2025-05-30 12:12:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202449775,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-27 16:44:00,2024-12-23 10:43:00,2025-03-27 14:39:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202448772,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-23 03:00:00,2024-12-17 08:40:00,2025-02-03 07:56:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
051296099352202410886,ESTAFA. ART. 246 C.P.,QUERELLA,2024-10-18 19:07:00,2024-12-19 13:42:00,2025-02-03 07:39:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050456099151202411740,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-11 16:53:00,2024-12-13 14:10:00,2025-07-17 13:55:00,Conciliación sin acuerdo (para fiscales no sau),🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510992,ESTAFA. ART. 246 C.P.,QUERELLA,2024-05-28 19:30:00,2025-01-13 12:01:00,2025-06-20 16:45:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202510714,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-06 16:11:00,2025-01-10 11:11:00,2025-03-27 14:49:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
687556000235202510021,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-19 15:56:00,2025-01-13 16:04:00,2025-04-24 14:39:00,Registro de informacion no formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510584,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-13 13:00:00,2025-01-09 15:34:00,2025-02-04 15:46:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202510610,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-12-13 22:45:00,2025-01-09 16:21:00,2025-04-03 16:33:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510706,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-09 23:18:00,2025-01-10 11:03:00,2025-01-28 11:17:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510507,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-03 01:33:00,2025-01-09 11:39:00,2025-02-11 08:51:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202510146,ESTAFA. ART. 246 C.P.,QUERELLA,2024-10-31 14:10:00,2025-01-02 13:52:00,2025-03-26 09:21:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510643,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-12 11:57:00,2025-01-10 08:40:00,2025-03-26 15:33:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202500102,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-04 02:00:00,2025-01-08 09:12:00,2025-02-20 08:58:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510542,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-07 21:54:00,2025-01-09 13:59:00,2025-03-27 14:55:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202510667,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-23 20:37:00,2025-01-10 17:40:00,2025-03-28 14:36:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202510428,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-12-10 22:21:00,2025-01-09 08:06:00,2025-01-24 09:51:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202510033,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-23 21:00:00,2025-01-02 09:00:00,2025-01-28 07:50:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202510722,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-25 16:24:00,2025-01-10 11:25:00,2025-01-17 16:52:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
110016010000202432498,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-07 17:15:00,2024-12-24 11:26:00,2025-01-23 12:27:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000206202445882,ESTAFA. ART. 246 C.P.,QUERELLA,2024-03-15 14:00:00,2024-12-26 00:00:00,2025-03-10 14:25:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202450110,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-18 16:29:00,2024-12-26 09:49:00,2025-01-23 13:31:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202450131,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-10 13:25:00,2024-12-26 10:31:00,2025-01-23 00:00:00,Programa metodológico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202450489,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-05 18:00:00,2024-12-27 15:45:00,2025-01-24 16:23:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202479302,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-22 15:47:00,2024-12-24 09:11:00,2025-03-27 16:05:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202479360,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-17 13:00:00,2024-12-24 11:34:00,2025-01-23 13:38:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202478439,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-22 13:27:00,2024-12-10 13:30:00,2025-02-14 14:13:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
680016000160202442590,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-18 21:48:00,2024-12-19 12:24:00,2025-05-02 14:54:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202447969,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-24 05:25:00,2024-12-11 10:08:00,2025-02-03 11:47:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202449347,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-26 13:38:00,2024-12-19 12:50:00,2025-01-23 12:31:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016100335202411127,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-13 18:30:00,2024-12-18 08:05:00,2025-01-27 08:05:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202449116,ESTAFA. ART. 246 C.P.,QUERELLA,2024-09-22 19:19:00,2024-12-18 15:39:00,2025-01-29 09:39:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
110016099157202415092,ESTAFA. ART. 246 C.P.,DENUNCIA,2024-12-10 22:55:00,2024-12-11 15:50:00,2025-05-30 14:26:00,Conciliacion fracasada (no se hizo - complementar con el motivo),➡️ Continuar con el proceso (Conciliación Fracasada)
110016010000202517298,ESTAFA. ART. 246 C.P.,QUERELLA,2025-05-22 13:37:00,2025-05-26 12:58:00,2025-07-10 11:35:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202449075,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-02 15:30:00,2024-12-18 14:22:00,2025-01-28 11:33:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202535610,ESTAFA. ART. 246 C.P.,QUERELLA,2025-04-19 02:30:00,2025-06-17 12:57:00,2025-07-24 15:45:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
688616000238202500012,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-23 09:00:00,2025-01-29 09:00:00,2025-07-02 14:13:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
110016010000202511158,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-17 21:19:00,2025-01-30 09:20:00,2025-03-28 15:14:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202513467,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-27 16:07:00,2025-02-17 15:34:00,2025-03-28 15:39:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202512968,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-11 16:30:00,2025-01-27 16:06:00,2025-03-28 16:52:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202514993,ESTAFA. ART. 246 C.P.,QUERELLA,2022-08-19 02:55:00,2025-03-05 14:02:00,2025-03-21 14:14:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202517048,ESTAFA. ART. 246 C.P.,QUERELLA,2025-02-22 21:00:00,2025-03-05 15:45:00,2025-06-10 17:22:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202501280,ESTAFA. ART. 246 C.P.,QUERELLA,2025-03-06 20:00:00,2025-03-11 07:41:00,2025-04-04 14:37:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
110016010000202513364,ESTAFA. ART. 246 C.P.,DENUNCIA,2024-11-21 15:00:00,2025-03-17 13:50:00,2025-05-16 16:41:00,QUERELLA PROGRAMADA PARA CONCILIACION (1A.CITA).,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202516276,ESTAFA. ART. 246 C.P.,QUERELLA,2025-01-28 14:00:00,2025-03-20 17:03:00,2025-04-03 16:43:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202527924,ESTAFA. ART. 246 C.P.,QUERELLA,2025-03-11 16:37:00,2025-05-13 16:05:00,2025-06-10 15:30:00,Sale de fiscal intervención temprana a fiscal conocimiento,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
